,Close,compound,negative,neutral,positive,Open,High,Low,Volume
25,163.169998,0.0,0.0,1.0,0.0,164.490005,165.550003,162.100006,83737200.0
26,159.300003,0.2924,0.0,0.805,0.195,163.360001,165.020004,159.039993,96418800.0
27,157.440002,0.0,0.0,1.0,0.0,158.820007,162.880005,155.800003,131148300.0
28,162.949997,-0.2263,0.322,0.678,0.0,161.479996,163.410004,159.410004,91454900.0
29,158.520004,0.0,0.0,1.0,0.0,160.199997,160.389999,155.979996,105342000.0
30,154.729996,0.3818,0.0,0.658,0.342,158.929993,159.279999,154.5,96970100.0
31,150.619995,0.0,0.0,1.0,0.0,151.449997,154.119995,150.100006,108732100.0
32,155.089996,0.0,0.0,1.0,0.0,150.899994,155.570007,150.380005,92964300.0
33,159.589996,0.0,0.0,1.0,0.0,157.050003,160.0,154.460007,102300200.0
34,160.619995,0.4215,0.293,0.345,0.362,158.610001,161.0,157.630005,75615400.0
35,163.979996,0.0,0.0,1.0,0.0,160.509995,164.479996,159.759995,123511700.0
36,165.380005,-0.34,0.444,0.556,0.0,163.509995,166.350006,163.009995,95811400.0
37,168.820007,0.0,0.0,1.0,0.0,165.509995,169.419998,164.910004,81532000.0
38,170.210007,0.4576,0.0,0.667,0.333,167.990005,172.639999,167.649994,98062700.0
39,174.070007,0.0,0.0,1.0,0.0,171.059998,174.139999,170.210007,90131400.0
40,174.720001,0.0,0.0,1.0,0.0,173.880005,175.279999,172.75,80546200.0
41,175.600006,-0.6249,0.406,0.594,0.0,172.169998,175.729996,172.0,90371900.0
42,178.960007,0.0,0.0,1.0,0.0,176.690002,179.009995,176.339996,100589400.0
43,177.770004,0.128,0.0,0.727,0.273,178.550003,179.610001,176.699997,92633200.0
44,174.610001,0.0,0.0,1.0,0.0,177.839996,178.029999,174.399994,103049300.0
45,174.309998,0.0,0.0,1.0,0.0,174.029999,174.880005,171.940002,78751300.0
46,178.440002,-0.2263,0.322,0.678,0.0,174.570007,178.490005,174.440002,76468400.0
47,175.059998,0.0,0.0,1.0,0.0,177.5,178.300003,174.419998,73401800.0
48,171.830002,0.0,0.0,1.0,0.0,172.360001,173.630005,170.130005,89058800.0
49,172.139999,0.0,0.0,1.0,0.0,171.160004,173.360001,169.850006,77594700.0
50,170.089996,0.0,0.0,1.0,0.0,171.779999,171.779999,169.199997,76575500.0
51,165.75,0.0,0.0,1.0,0.0,168.710007,169.029999,165.5,72246700.0
52,167.660004,0.0,0.0,1.0,0.0,168.020004,169.869995,166.639999,79265200.0
53,170.399994,0.5994,0.0,0.562,0.438,167.389999,171.039993,166.770004,70618900.0
54,165.289993,0.0,0.0,1.0,0.0,170.619995,171.270004,165.039993,75329400.0
55,165.070007,0.0,0.0,1.0,0.0,163.919998,166.600006,163.570007,69023900.0
56,167.399994,0.3818,0.0,0.435,0.565,165.020004,167.820007,163.910004,67723800.0
57,167.229996,0.0,0.0,1.0,0.0,168.759995,168.880005,166.100006,67929800.0
